,winner,losser,winner_name,losser_name
1272,93,39,['Jeremy-Chardy'],['Karol-Beck']
1273,39,54,['Karol-Beck'],['Grigor-Dimitrov']
1274,95,39,['Lukas-Rosol'],['Karol-Beck']
1275,63,39,['Kevin-Anderson'],['Karol-Beck']
1276,78,39,['Igor-Andreev'],['Karol-Beck']
1277,64,40,['Sam-Querrey'],['Ernests-Gulbis']
1278,95,40,['Lukas-Rosol'],['Ernests-Gulbis']
1279,40,87,['Ernests-Gulbis'],['Lukasz-Kubot']
1280,50,40,['Simone-Bolelli'],['Ernests-Gulbis']
1281,40,53,['Ernests-Gulbis'],['Mikhail-Youzhny']
1282,40,78,['Ernests-Gulbis'],['Igor-Andreev']
1283,40,78,['Ernests-Gulbis'],['Igor-Andreev']
1284,40,45,['Ernests-Gulbis'],['Juan-Carlos-Ferrero']
1285,40,76,['Ernests-Gulbis'],['Xavier-Malisse']
1286,40,82,['Ernests-Gulbis'],['Alex-Bogomolov-Jr']
1287,66,40,['James-Blake'],['Ernests-Gulbis']
1288,62,40,['Dmitry-Tursunov'],['Ernests-Gulbis']
1289,61,40,['Adrian-Mannarino'],['Ernests-Gulbis']
1290,40,44,['Ernests-Gulbis'],['Fabio-Fognini']
1291,40,67,['Ernests-Gulbis'],['Denis-Istomin']
1292,51,40,['Carlos-Berlocq'],['Ernests-Gulbis']
1293,40,81,['Ernests-Gulbis'],['Yen-Hsun-Lu']
1294,40,84,['Ernests-Gulbis'],['Michael-Berrer']
1295,40,55,['Ernests-Gulbis'],['Sergiy-Stakhovsky']
1296,55,40,['Sergiy-Stakhovsky'],['Ernests-Gulbis']
1297,65,40,['Philipp-Petzschner'],['Ernests-Gulbis']
1298,42,40,['Gilles-Simon'],['Ernests-Gulbis']
1299,40,56,['Ernests-Gulbis'],['Victor-Hanescu']
1300,49,41,['Andreas-Seppi'],['Nikolay-Davydenko']
1301,41,42,['Nikolay-Davydenko'],['Gilles-Simon']
1302,42,41,['Gilles-Simon'],['Nikolay-Davydenko']
1303,41,84,['Nikolay-Davydenko'],['Michael-Berrer']
1304,48,41,['Janko-Tipsarevic'],['Nikolay-Davydenko']
1305,48,41,['Janko-Tipsarevic'],['Nikolay-Davydenko']
1306,91,41,['Albert-Montanes'],['Nikolay-Davydenko']
1307,41,72,['Nikolay-Davydenko'],['Ryan-Harrison']
1308,41,87,['Nikolay-Davydenko'],['Lukasz-Kubot']
1309,41,74,['Nikolay-Davydenko'],['Potito-Starace']
1310,41,55,['Nikolay-Davydenko'],['Sergiy-Stakhovsky']
1311,55,41,['Sergiy-Stakhovsky'],['Nikolay-Davydenko']
1312,80,41,['Viktor-Troicki'],['Nikolay-Davydenko']
1313,46,41,['Marcel-Granollers'],['Nikolay-Davydenko']
1314,43,41,['Nicolas-Almagro'],['Nikolay-Davydenko']
1315,60,41,['Robin-Haase'],['Nikolay-Davydenko']
1316,63,41,['Kevin-Anderson'],['Nikolay-Davydenko']
1317,41,44,['Nikolay-Davydenko'],['Fabio-Fognini']
1318,41,44,['Nikolay-Davydenko'],['Fabio-Fognini']
